Time,P,V,C
12-16-57-26,-1.122110366821289,5.417583465576172,2.1919403076171875
12-16-57-26,-0.799382209777832,5.0,2.4967041015625
12-16-57-26,-0.49267578125,5.131866455078125,3.0124549865722656
12-16-57-26,-0.17414379119873047,5.197803497314453,2.5670318603515625
12-16-57-26,0.15049171447753906,5.263736724853516,1.4652023315429688
12-16-57-26,0.4694061279296875,5.219779968261719,2.6842498779296875
12-16-57-26,0.785649299621582,5.109889984130859,2.379486083984375
12-16-57-26,1.116006851196289,5.527473449707031,2.168498992919922
12-16-57-26,1.451704978942871,5.219779968261719,2.707691192626953
12-16-57-26,1.7626075744628906,5.351650238037109,2.2388267517089844
12-16-57-26,2.086480140686035,5.483516693115234,2.1919403076171875
12-16-57-26,2.414931297302246,5.0,2.4732589721679688
12-16-57-26,2.7403297424316406,5.109889984130859,2.0278396606445312
12-16-57-26,3.0554285049438477,5.109889984130859,2.449817657470703
12-16-57-26,3.3888378143310547,5.109889984130859,2.2388267517089844
12-16-57-27,3.708515167236328,5.043956756591797,2.2388267517089844
12-16-57-27,4.030860900878906,5.0659332275390625,2.6139183044433594
12-16-57-27,4.353208541870117,5.043956756591797,2.1450538635253906
12-16-57-27,4.675935745239258,5.483516693115234,2.9655685424804688
12-16-57-27,5.002479553222656,5.0659332275390625,2.6608047485351562
12-16-57-27,5.321393966674805,5.395603179931641,1.8402938842773438
12-16-57-27,5.658235549926758,5.175823211669922,2.426372528076172
12-16-57-27,5.982109069824219,5.351650238037109,2.871795654296875
12-16-57-27,6.301784515380859,5.0,1.6996345520019531
12-16-57-27,6.61802864074707,4.978023529052734,2.4029312133789062
12-16-57-27,6.938468933105469,4.912086486816406,2.707691192626953
12-16-57-27,7.255855560302734,5.0659332275390625,2.332599639892578
12-16-57-27,7.582399368286133,5.043956756591797,2.0981674194335938
12-16-57-27,7.905508041381836,5.109889984130859,2.051280975341797
12-16-57-27,8.227092742919922,5.0659332275390625,2.5670318603515625
12-16-57-27,8.5555419921875,5.461540222167969,2.168498992919922
12-16-57-28,8.872930526733398,5.0659332275390625,2.4967041015625
12-16-57-28,9.194515228271484,5.0,2.4029312133789062
12-16-57-28,9.529449462890625,4.978023529052734,2.543590545654297
12-16-57-28,9.855993270874023,5.219779968261719,2.3560447692871094
12-16-57-28,10.173379898071289,5.263736724853516,2.1919403076171875
12-16-57-28,10.488861083984375,5.483516693115234,1.9106216430664062
12-16-57-28,10.814641952514648,5.0659332275390625,2.6139183044433594
12-16-57-28,11.132028579711914,4.868133544921875,2.707691192626953
12-16-57-28,11.452850341796875,5.043956756591797,1.6996345520019531
12-16-57-28,11.785114288330078,5.285713195800781,2.2857131958007812
12-16-57-28,12.107461929321289,4.978023529052734,2.824909210205078
12-16-57-28,12.433622360229492,5.263736724853516,2.168498992919922
12-16-57-28,-12.242122650146484,5.395603179931641,2.00439453125
12-16-57-28,-11.911765098571777,4.9340667724609375,2.707691192626953
12-16-57-28,-11.59819221496582,4.978023529052734,2.6373634338378906
12-16-57-28,-11.27584457397461,4.9340667724609375,2.4967041015625
12-16-57-29,-10.947012901306152,4.714286804199219,2.6842498779296875
12-16-57-29,-10.61894416809082,5.0659332275390625,1.9575080871582031
12-16-57-29,-10.2958345413208,5.395603179931641,3.1531143188476562
12-16-57-29,-9.973487854003906,5.043956756591797,2.051280975341797
12-16-57-29,-9.63054084777832,5.8131866455078125,1.8637351989746094
12-16-57-29,-9.289502143859863,5.74725341796875,1.8637351989746094
12-16-57-29,-8.946555137634277,5.197803497314453,2.1919403076171875
12-16-57-29,-8.628786087036133,4.9340667724609375,2.4029312133789062
12-16-57-29,-8.310635566711426,5.263736724853516,1.6996345520019531
12-16-57-29,-7.991340637207031,4.648349761962891,2.3560447692871094
12-16-57-29,-7.680819511413574,4.626373291015625,2.6842498779296875
12-16-57-29,-7.37067985534668,5.285713195800781,2.707691192626953
12-16-57-29,-7.041466236114502,5.461540222167969,2.121612548828125
12-16-57-29,-6.703479290008545,5.263736724853516,3.0593414306640625
12-16-57-29,-6.37312126159668,5.197803497314453,2.75457763671875
12-16-57-29,-6.043907642364502,5.461540222167969,2.2857131958007812
12-16-57-30,-5.702868461608887,5.197803497314453,2.824909210205078
12-16-57-30,-5.365644454956055,5.0659332275390625,2.4029312133789062
12-16-57-30,-5.036430835723877,5.483516693115234,1.9340667724609375
12-16-57-30,-4.685854911804199,5.329669952392578,2.332599639892578
12-16-57-30,-4.343289375305176,5.395603179931641,2.121612548828125
12-16-57-30,-4.001487731933594,5.329669952392578,2.332599639892578
12-16-57-30,-3.666934013366699,5.109889984130859,2.6842498779296875
12-16-57-30,-3.320553779602051,5.285713195800781,2.332599639892578
12-16-57-30,-2.9726486206054688,5.417583465576172,2.4732589721679688
12-16-57-30,-2.632753372192383,5.395603179931641,2.4967041015625
12-16-57-30,-2.3043031692504883,5.615383148193359,1.9340667724609375
12-16-57-30,-1.9594488143920898,5.923076629638672,1.7934074401855469
12-16-57-30,-1.6103992462158203,5.527473449707031,2.4967041015625
12-16-57-30,-1.2796592712402344,5.351650238037109,2.1919403076171875
12-16-57-30,-0.9447240829467773,5.197803497314453,2.074726104736328
12-16-57-30,-0.6177997589111328,4.9340667724609375,2.332599639892578
12-16-57-31,-0.3027009963989258,4.912086486816406,3.0358963012695312
12-16-57-31,0.01811981201171875,5.109889984130859,2.449817657470703
12-16-57-31,0.3484783172607422,5.461540222167969,1.74652099609375
12-16-57-31,0.6841764450073242,5.285713195800781,2.5670318603515625
12-16-57-31,1.0091934204101562,4.868133544921875,2.4732589721679688
12-16-57-31,1.3273439407348633,5.175823211669922,1.8402938842773438
12-16-57-31,1.6580839157104492,5.0,2.4967041015625
12-16-57-31,1.9941635131835938,5.329669952392578,2.4967041015625
12-16-57-31,2.3218507766723633,4.9340667724609375,2.2153854370117188
12-16-57-31,2.654115676879883,5.219779968261719,2.051280975341797
12-16-57-31,2.9818038940429688,4.912086486816406,1.9340667724609375
12-16-57-31,3.3133058547973633,5.175823211669922,2.7311363220214844
12-16-57-31,3.6406116485595703,5.0,2.6373634338378906
12-16-57-31,3.9515151977539062,5.219779968261719,2.379486083984375
12-16-57-31,4.277675628662109,5.417583465576172,2.074726104736328
12-16-57-31,4.607271194458008,5.351650238037109,2.2622718811035156
12-16-57-32,4.914358139038086,5.263736724853516,3.1531143188476562
